"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CYC1",137673381.944709,-0.40028869363236,0.110676572424026,-3.61674277460245,0.00029833350454443,0.00386094391979921
"HEL-S-102",744849847.404107,-0.504669222122587,0.140498796645227,-3.59198252350106,0.000328171862637642,0.00422814283737605
"7-Sep",13977146.0136343,0.656803882643846,0.183319025848126,3.58284624089148,0.000339870680732645,0.00435940793153073
"NNT",323449474.689883,-0.377464303364422,0.105599826858934,-3.57447843043021,0.000350926739393593,0.0044675606862827
"TNNT2",909989955.666004,-0.584506066514822,0.163538143244873,-3.57412683620613,0.00035139857095848,0.0044675606862827
"CLU",46241046.7055824,1.29811472973291,0.366932330621543,3.53774966499694,0.000403552465103989,0.00510812462407944
"ITIH2",10268144.2262082,1.24395352903461,0.357155851238712,3.48294315974453,0.000495933648816629,0.00625006336456241
"HEL-S-107",15893385.0631311,-0.661278686644856,0.190304152699622,-3.4748515850236,0.000511136061032284,0.00641364640060509
"LGALS3",24847170.5749074,-1.16560880438357,0.336771395142746,-3.46112770025942,0.000537917581311712,0.00672047679508918
"IAH1",5813818.46762342,1.07089917685939,0.310067155504125,3.45376528229265,0.000552818292655687,0.00687686893363927
"CSPG2",5174393.34519462,1.85536232100378,0.548022330671907,3.38555970653422,0.000710332548105328,0.00879836795636042
"FGG",62523985.5603475,0.914671424170469,0.272113058982273,3.36136541036075,0.000775581447282013,0.00956550451647816
"GPC1",3152546.42034666,1.46522202183853,0.437868799825704,3.3462581084146,0.000819101112897909,0.0100592587737165
"PMPCA",2822414.65616845,1.1224043500391,0.335614844865716,3.34432271757285,0.000824837277703675,0.010086781285817
"FLNC",138676553.285648,-0.645129780424053,0.193017916800249,-3.34233107018602,0.000830779067364445,0.0101165754785392
"RPN1",11403234.92958,-0.531219873678539,0.159535405252541,-3.3297929875668,0.000869105736097913,0.0105388199763806
"ACADSB",34868497.1640992,0.43318790268294,0.131069224494562,3.30503140118077,0.00094965759560531,0.0114674134766398
"NES",42683149.864227,0.907554781592619,0.275564889444468,3.29343401992259,0.000989715675633692,0.0119013309994951
"BCAP29",7450964.13590378,-0.663151963018942,0.201977378192591,-3.28329820375532,0.00102600071060178,0.0122864649410653
"GNG7",37323584.0140033,1.07049071183625,0.326528003124769,3.2784040008575,0.00104395866423522,0.0124498541528216
"ATP5C1",549635762.171546,-0.269780817505121,0.0825575744439747,-3.26779001590218,0.00108390751773223,0.0128617238562154
"DKK3",12216497.2003903,2.61542835719918,0.800589737568889,3.26687719622953,0.00108740839255598,0.0128617238562154
"TARS",1683584.78866589,0.955970883430738,0.293011686773677,3.26256912806735,0.00110407241938473,0.0130055224585483
"UBE1",17886423.1234827,0.634386885930453,0.194905697138093,3.25484013677128,0.00113456210012744,0.013310350491739
